pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
EURCAD,W,bullish,direct_touch,2010-01-18 22:00:00,2010-01-25 22:00:00,2010-02-02 03:00:00,2010-02-05 01:00:00,2010-02-10 19:00:00,5.75,1.47555,1.4665,1.4719,90.5,54.00000000000071,59.6685082872936,2,H4,1.4678,1.4566,1.4846,1.4566,1.5,111.99999999999876,167.99999999999926,sl,-111.99999999999876,-1.0,loss,92.00000000000097,118.00000000000033,0.8928571428571527
EURAUD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-11 00:00:00,2010-02-11 00:00:00,2010-02-11 08:00:00,0.3333333333333333,1.5628,1.54975,1.559,130.5,92.4999999999998,70.8812260536397,2,D,1.5612,1.548445,1.57585,1.548445,1.148569188553526,127.54999999999848,146.5000000000005,sl,-127.54999999999848,-1.0,loss,70.5,140.49999999999895,0.7840062720501857
EURNZD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-11 08:00:00,2010-02-11 13:00:00,2010-02-11 16:00:00,0.125,1.96518,1.95595,1.9617,92.3,57.49999999999922,62.29685807150511,2,H4,1.96038,1.951026666666667,1.97441,1.951026666666667,1.5,93.53333333333325,140.29999999999987,sl,-93.53333333333325,-1.0,loss,34.49999999999953,145.50000000000065,1.0691375623663588
EURNZD,W,bullish,direct_touch,2010-01-18 22:00:00,2010-01-25 22:00:00,2010-02-16 04:00:00,2010-02-17 19:00:00,2010-02-24 08:00:00,6.541666666666667,1.94464,1.92987,1.94238,147.7,125.1000000000002,84.69871360866635,2,H4,1.93117,1.9123433333333335,1.95941,1.95941,1.5,188.26666666666543,282.3999999999982,tp,282.3999999999982,1.5000000000000002,win,338.30000000000024,65.69999999999965,0.531161473087822
USDJPY,W,bearish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-17 09:00:00,2010-02-17 19:00:00,2010-02-19 16:00:00,1.875,90.605,91.275,90.945,67.0,33.00000000000125,49.253731343285445,3,H4,91.23,92.09333333333332,89.935,92.09333333333332,1.5,86.33333333333297,129.50000000000017,sl,-86.33333333333297,-1.0,loss,66.00000000000108,91.4999999999992,0.0115830115830116
GBPCAD,W,bullish,direct_touch,2010-03-15 21:00:00,2010-03-22 21:00:00,2010-03-23 05:00:00,2010-03-25 14:00:00,2010-04-11 21:00:00,17.291666666666668,1.5344,1.51705,1.5271,173.5,100.49999999999892,57.92507204610888,1,H1,1.51815,1.49575,1.55175,1.55175,1.5,223.99999999999977,335.9999999999985,tp,335.9999999999985,1.4999999999999951,win,349.9999999999992,66.50000000000044,0.4464285714285719
GBPCAD,W,bullish,direct_touch,2010-03-29 21:00:00,2010-04-05 21:00:00,2010-04-06 01:00:00,2010-04-07 11:00:00,2010-04-09 11:00:00,2.0,1.5299,1.5115,1.5277,184.0,161.99999999999991,88.04347826086952,8,D,1.51365,1.4905499999999998,1.5483,1.5483,1.5,231.0000000000012,346.5000000000007,tp,346.5000000000007,1.4999999999999951,win,362.5999999999996,3.999999999999559,0.4329004329004307
AUDJPY,W,bearish,direct_touch,2010-04-05 21:00:00,2010-04-12 21:00:00,2010-04-14 00:00:00,2010-04-14 12:00:00,2010-04-16 01:00:00,1.5416666666666667,86.915,87.51,87.195,59.49999999999999,31.500000000001194,52.94117647059024,4,3D,87.33,88.00333333333333,86.32000000000001,86.32000000000001,1.5,67.3333333333332,100.99999999999908,tp,100.99999999999908,1.4999999999999891,win,111.49999999999947,21.50000000000034,0.0148514851485148
GBPAUD,W,bullish,direct_touch,2010-04-12 21:00:00,2010-04-19 21:00:00,2010-04-20 00:00:00,2010-04-20 04:00:00,2010-05-06 18:00:00,16.583333333333332,1.65623,1.6345,1.6509,217.3,163.9999999999997,75.47169811320741,11,D,1.6512,1.632327,1.67796,1.67796,1.417898585280572,188.72999999999917,267.60000000000116,tp,267.60000000000116,1.417898585280572,win,397.0000000000007,140.49999999999895,0.5298574683410185
EURCAD,W,bullish,direct_touch,2010-04-05 21:00:00,2010-04-12 21:00:00,2010-04-20 13:00:00,2010-04-21 04:00:00,2010-05-06 11:00:00,15.291666666666666,1.35065,1.3341,1.3496,165.49999999999997,154.9999999999985,93.65558912386616,9,3D,1.33595,1.3151166666666667,1.3672,1.3151166666666667,1.5,208.33333333333255,312.5,sl,-208.33333333333255,-1.0,loss,233.4999999999998,219.00000000000028,0.4800000000000017
EURAUD,W,bullish,direct_touch,2010-04-05 21:00:00,2010-04-12 21:00:00,2010-04-14 00:00:00,2010-04-21 05:00:00,2010-05-13 08:00:00,22.125,1.4631,1.4348,1.458,283.0,231.9999999999989,81.97879858657204,8,3D,1.4375,1.4015666666666666,1.4914,1.4015666666666666,1.5,359.3333333333337,539.0000000000006,sl,-359.3333333333337,-1.0,loss,139.00000000000023,390.5000000000003,0.2782931354359922
AUDNZD,W,bullish,direct_touch,2010-05-10 21:00:00,2010-05-17 21:00:00,2010-05-18 08:00:00,2010-05-18 19:00:00,2010-05-20 02:00:00,1.2916666666666667,1.24875,1.23905,1.2444,97.0,53.49999999999966,55.15463917525738,1,D,1.24585,1.2374499999999995,1.25845,1.2374499999999995,1.5,84.00000000000185,126.00000000000166,sl,-84.00000000000185,-1.0,loss,121.50000000000104,141.49999999999883,1.1904761904761645
CADCHF,W,bearish,direct_touch,2010-05-17 21:00:00,2010-05-24 21:00:00,2010-05-27 07:00:00,2010-05-31 12:00:00,2010-06-17 13:00:00,17.041666666666668,1.09515,1.10695,1.1005,118.0,64.50000000000067,54.66101694915311,4,3D,1.1067,1.1222666666666667,1.08335,1.08335,1.5,155.66666666666728,233.4999999999998,tp,233.4999999999998,1.499999999999993,win,261.0000000000001,86.10000000000007,0.642398286937899
AUDNZD,W,bullish,direct_touch,2010-05-24 21:00:00,2010-05-31 21:00:00,2010-06-01 04:00:00,2010-06-06 23:00:00,2010-08-04 23:00:00,59.0,1.23445,1.21225,1.22405,222.0,118.00000000000033,53.1531531531533,2,H4,1.22335,1.20115,1.25665,1.25665,1.5,221.99999999999997,333.0000000000011,tp,333.0000000000011,1.500000000000005,win,344.9999999999997,137.4999999999993,0.4504504504504504
CADCHF,W,bearish,direct_touch,2010-05-31 21:00:00,2010-06-07 21:00:00,2010-06-10 07:00:00,2010-06-11 14:00:00,2010-06-17 07:00:00,5.708333333333333,1.1043,1.11465,1.10945,103.5,51.999999999998714,50.241545893718566,6,D,1.11425,1.1277833333333334,1.09395,1.09395,1.5,135.33333333333397,202.99999999999983,tp,202.99999999999983,1.4999999999999918,win,248.50000000000037,10.600000000000607,0.738916256157632
NZDCHF,W,bearish,direct_touch,2010-05-31 21:00:00,2010-06-07 21:00:00,2010-06-10 18:00:00,2010-06-11 14:00:00,2010-06-25 03:00:00,13.541666666666666,0.7851,0.79385,0.7926,87.5,12.499999999999734,14.28571428571398,3,D,0.79295,0.8040166666666667,0.77635,0.77635,1.5,110.66666666666669,166.0000000000006,tp,166.0000000000006,1.500000000000005,win,176.50000000000054,47.4999999999992,0.9036144578313252
NZDJPY,W,bearish,direct_touch,2010-05-31 21:00:00,2010-06-07 21:00:00,2010-06-10 08:00:00,2010-06-14 01:00:00,2010-07-01 01:00:00,17.0,62.065,63.95,62.665,188.5,128.50000000000037,68.16976127320974,6,3D,63.705,66.05499999999999,60.18,60.18,1.5,234.99999999999943,352.49999999999983,tp,352.49999999999983,1.5000000000000029,win,377.49999999999983,159.00000000000034,0.0042553191489361
AUDNZD,W,bullish,direct_touch,2010-06-07 21:00:00,2010-06-14 21:00:00,2010-06-23 09:00:00,2010-06-24 19:00:00,2010-07-08 05:00:00,13.416666666666666,1.22925,1.221,1.2268,82.5,57.99999999999805,70.30303030302794,4,H4,1.22115,1.2102499999999998,1.2375,1.2375,1.5,109.00000000000132,163.50000000000085,tp,163.50000000000085,1.4999999999999898,win,168.5000000000003,86.50000000000045,0.9174311926605394
AUDJPY,W,bullish,direct_touch,2010-06-07 21:00:00,2010-06-14 21:00:00,2010-07-01 01:00:00,2010-07-01 01:00:00,2010-07-01 12:00:00,0.4583333333333333,74.035,73.665,73.83,37.0,16.499999999999204,44.59459459459245,1,H1,73.725,73.125,74.405,73.125,1.1333333333333555,59.99999999999943,68.00000000000068,sl,-59.99999999999943,-1.0,loss,71.0000000000008,64.4999999999996,0.0166666666666668
USDJPY,W,bullish,direct_touch,2010-07-05 21:00:00,2010-07-12 21:00:00,2010-07-15 12:00:00,2010-07-16 03:00:00,2010-07-30 12:00:00,14.375,87.75,86.965,87.015,78.5,4.999999999999716,6.369426751591995,3,H4,87.055,86.06833333333334,88.535,86.06833333333334,1.5,98.66666666666646,147.99999999999898,sl,-98.66666666666646,-1.0,loss,105.9999999999988,111.00000000000136,0.0101351351351351
CADJPY,W,bullish,direct_touch,2010-07-05 21:00:00,2010-07-12 21:00:00,2010-07-16 13:00:00,2010-07-16 14:00:00,2010-07-20 19:00:00,4.208333333333333,82.495,81.595,81.865,90.0,26.9999999999996,29.999999999999556,2,H1,81.945,80.97833333333331,83.39500000000001,83.39500000000001,1.5,96.66666666666828,145.0000000000017,tp,145.0000000000017,1.499999999999993,win,180.00000000000114,22.999999999998977,0.0103448275862067
USDJPY,W,bullish,direct_touch,2010-07-19 21:00:00,2010-07-26 21:00:00,2010-07-29 16:00:00,2010-07-30 02:00:00,2010-08-03 11:00:00,4.375,86.675,86.265,86.335,41.0,6.999999999999318,17.073170731705652,0,wick_diff,86.335,85.735,87.085,85.735,1.2500000000000118,59.99999999999943,75.0,sl,-59.99999999999943,-1.0,loss,54.50000000000017,60.49999999999898,0.0166666666666668
